c_total,Cd,Pb,Mod1,Mod2,Mod3
50,40.0,10.0,154564,5905,111202
200,200.0,0.0,299300,35471,195748
5000,5000.0,0.0,22633,4527,127464
2000,1200.0,800.0,84277,1421,6016
200,200.0,0.0,297504,35586,198080
35,14.0,21.0,18501,207,184314
500,0.0,500.0,50307,165,6858
35,21.0,14.0,31195,363,173957
14,14.0,0.0,34946,277,77537
200,160.0,40.0,299994,34442,164703
20,0.0,20.0,11632,138,127901
100,40.0,60.0,183168,16289,82026
0,0.0,0.0,10786,117,82977
2000,1200.0,800.0,84983,1514,5585
70,70.0,0.0,279909,34872,96314
14,5.6,8.4,10989,119,145086
1000,600.0,400.0,163486,2114,13363
500,0.0,500.0,52575,1370,6282
500,400.0,100.0,214111,10751,47725
20,4.0,16.0,10929,131,179245
1000,200.0,800.0,182870,2708,7797
35,0.0,35.0,11204,305,142378
2000,800.0,1200.0,128478,2255,7269
20,4.0,16.0,9785,138,159554
2000,1200.0,800.0,88741,1500,6877
100,60.0,40.0,254075,35391,135971
200,40.0,160.0,161962,15145,62580
500,300.0,200.0,213482,4246,23842
2000,400.0,1600.0,140470,3301,4661
200,40.0,160.0,155142,13694,69520
70,0.0,70.0,16203,671,94500
200,80.0,120.0,276805,19200,85736
5000,5000.0,0.0,23331,4241,140303
50,20.0,30.0,35837,1050,182639
50,50.0,0.0,213560,23093,134848
1000,200.0,800.0,177856,2619,7551
1000,800.0,200.0,163758,3797,37242
70,14.0,56.0,43092,797,147371
14,2.8,11.2,8298,113,99239
500,0.0,500.0,54414,1307,5650
100,60.0,40.0,253888,34095,133909
20,12.0,8.0,9032,159,127834
100,60.0,40.0,264368,35474,132740
70,42.0,28.0,154452,13000,148456
200,40.0,160.0,163432,16606,59335
50,20.0,30.0,35781,3700,146070
1000,0.0,1000.0,51807,2451,7074
70,28.0,42.0,97565,4088,133913
5000,3000.0,2000.0,22528,910,2174
14,0.0,14.0,9742,127,154323
100,20.0,80.0,59842,6878,82562
14,8.4,5.6,19491,133,186314
14,8.4,5.6,18774,118,120807
70,28.0,42.0,87361,2550,114837
70,56.0,14.0,259255,37516,185161
70,56.0,14.0,265474,33932,171263
500,500.0,0.0,201692,14424,124867
50,50.0,0.0,216243,23502,125745
100,80.0,20.0,281426,37688,140102
1000,1000.0,0.0,146338,13357,127050
5000,4000.0,1000.0,22396,1692,6023
5000,0.0,5000.0,18075,4491,6193
70,28.0,42.0,100951,3837,124456
200,0.0,200.0,32540,8047,56799
70,70.0,0.0,300749,39838,163420
200,120.0,80.0,275771,25928,87516
100,40.0,60.0,170236,16825,82863
1000,200.0,800.0,177856,2708,7781
5000,2000.0,3000.0,32024,2498,4227
1000,800.0,200.0,160990,3973,37177
70,42.0,28.0,173386,19781,133982
200,120.0,80.0,289485,22529,94715
200,80.0,120.0,274937,19463,81492
500,200.0,300.0,236944,5198,25659
50,10.0,40.0,32936,735,138529
2000,0.0,2000.0,45323,2759,5101
5000,4000.0,1000.0,22396,563,7454
50,30.0,20.0,49520,2261,210270
50,0.0,50.0,17201,293,118509
2000,800.0,1200.0,127269,2453,7420
